"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"1","Global report on food crises","","",2021,"","","","",NA,"","Africa"
"2","Assessment of eating habits and lifestyle during the coronavirus 2019 pandemic in the Middle East and North Africa region: a cross-sectional study","Cheikh Ismail, L.; Osaili, T. M.; Mohamad, M. N.; Al Marzouqi, A.; Jarrar, A. H.; Zampelas, A.; Habib-Mourad, C.; Omar Abu Jamous, D.; Ali, H. I.; Al Sabbah, H.; Hasan, H.; AlMarzooqi, L. M. R.; Stojanovska, L.; Hashim, M.; Shaker Obaid, R. R.; ElFeky, S.; Saleh, S. T.; Shawar, Z. A. M.; Al Dhaheri, A. S.","Coronavirus disease 2019 (COVID-19) has rapidly spread globally, forcing countries to apply lockdowns and strict social distancing measures. The aim of this study was to assess eating habits and lifestyle behaviours among residents of the Middle East and North Africa (MENA) region during the lockdown. A cross-sectional study among adult residents of the MENA region was conducted using an online questionnaire designed on Google Forms during April 2020. A total of 2970 participants from eighteen countries participated in the present study. During the pandemic, over 30 % reported weight gain, 6·2 % consumed five or more meals per d compared with 2·2 % before the pandemic (P < 0·001) and 48·8 % did not consume fruits on a daily basis. Moreover, 39·1 % did not engage in physical activity, and over 35 % spent more than 5 h/d on screens. A significant association between the frequency of training during the pandemic and the reported change in weight was found (P < 0·001). A significantly higher percentage of participants reported physical and emotional exhaustion, irritability and tension either all the time or a large part of the time during the pandemic (P < 0·001). Although a high percentage of participants reported sleeping more hours per night during the pandemic, 63 % had sleep disturbances. The study highlights that the lockdown due to the COVID-19 pandemic caused a variety of lifestyle changes, physical inactivity and psychological problems among adults in the MENA region.",2021,"Br J Nutr","126","5","757-766",33198840,"10.1017/s0007114520004547","Africa"
"3","Perspectives on the impact of the COVID-19 pandemic on the global and African maritime transport sectors, and the potential implications for Africa’s maritime governance","Oyenuga, A.","The maritime transport sector (MTS) has been impacted by the coronavirus 2019 pandemic, with significant disruptions to shipping and maritime activity along established transport routes. This paper examines the impacts of the pandemic on the MTS, at the global and African levels, and discusses what Africa’s priorities for its MTS should be in the post-pandemic era. The short-term impacts of the pandemic are identified as including a drop in the volume of trade transported by maritime shipping; disruptions due to re-routed shipments; maritime defaults and bankruptcies; and stranded seafarers. To understand the longer-term impacts, the paper analyzes the pandemic’s effect on five critical trends facing the MTS globally, viz, trade tensions, geopolitical developments, structural disruptions, regulatory pressures, and environmental incidents. In the African context, the paper highlights that with a mere 4% share of global container port traffic and a 7% and 5% share, respectively, of international maritime exports and imports (measured by tonnage), Africa’s significance to the global MTS is not huge. Hence, an impact analysis based on the global MTS trends would be premature. The paper concludes that Africa’s MTS in the post-pandemic era should focus on improving operational performance and sustainable development. Africa should also improve maritime governance to ensure that desired developmental outcomes are realized. It is argued that adopting a multi-stakeholder governance framework will be most appropriate for the continent’s MTS in the post-pandemic era. Further research is however needed to identify how a multi-stakeholder governance framework should be adapted and deployed to fit different African environments. © 2021, World Maritime University.",2021,"WMU Journal of Maritime Affairs","20","2","215-245",NA,"10.1007/s13437-021-00233-3","Africa"
"4","SADC Regional Response to Covid-19 pandemic: Report on the covid-19 pandemic in the SADC Region with a specific focus on its impact on fisheries and aquaculture value chains","","The Bulletin 6 of the SADC Regional Response to COVID-19 provides highlights on recent tools and guidelines released by the World Health Organization (WHO). These include a case report form for a suspected case of Multi system inflammatory syndrome (MIS-C) as well as guidance in recommendations for mass gatherings, which is a resource to be used by Member States. The report further highlights the resolution adopted by the World Health Assembly (WHA). The resolution seeks to establish the origins of the novel coronavirus as well as initiate an “impartial, independent and comprehensive evaluation” on the response of the WHO to the coronavirus crisis.
The global, continental and regional situation of COVID-19 is also presented. The Bulletin also present the impact of COVID-19 on value chains, with emphasis on the fisheries and aquaculture value chain which was deliberated during the virtual meeting of Ministers responsible for Agriculture and Food Security, and Fisheries and Aquaculture held on 22 May 2020. Further, the Bulletin provides updates on the implementation of the SADC Guidelines on the Harmonization and Facilitation of Cross Border Transport Operations across the region, and on the Secretariat’s resource mobilization efforts towards COVID -19.",2020,"","","","",NA,"","Africa"
"5","COVID-19 and Multilateral Fisheries Management","Sebastian, KÖNIGS","",2021,"","","","",NA,"","Africa"
"6","COVID-19 impacts and adaptations in Asia and Africa’s aquatic food value chains","Belton, Ben; Rosen, Leah; Middleton, Lucinda; Ghazali, Saadiah; Mamun, Abdullah-Al; Shieh, Jacqueline; Noronha, Hamia S.; Dhar, Goutam; Ilyas, Mohammod; Price, Christopher; Nasr-Allah, Ahmed; Elsira, Ibrahim; Baliarsingh, Bikram K.; Padiyar, Arun; Rajendran, Suresh; Mohan, A.B.C.; Babu, Ravi; Akester, Michael Joseph; Phyo, Ei Ei; Soe, Khin Maung; Olaniyi, Ajibola; Siriwardena, Sunil N.; Bostock, John; Little, David C.; Phillips, Michael; Thilsted, Shakuntala H.","",2021,"","","","",NA,"","Africa"
"7","Impact of covid-19 on food systems: a situation report","","The COVID-19 pandemic is a multiplier of vulnerability, compounding threats to food security and nutrition (FSN)
1
while exposing weaknesses in food systems. In response, the Global Alliance for Improved Nutrition (GAIN)
developed the Keeping Food Markets Working (KFMW) programme to provide targeted support to help sustain core food systems, workers and markets during the COVID-19 emergency. The programme’s objective is to mitigate the risk of collapse of the countries’ food systems to sustain the availability and affordability of nutritious food.

This document is the sixth situation report2 generated to synthesise insights on the ongoing impacts of COVID-19 on food systems for use by practitioners and policymakers. The analysis focuses on a set of 10 countries where GAIN works (Bangladesh, Ethiopia, India, Indonesia, Kenya, Mozambique, Nigeria, Pakistan, Rwanda and Tanzania). A particular focus is placed on small- and medium-sized enterprises (SMEs) within the food system and how nutritious foods value chains are changing.",2021,"","","","",NA,"","Africa"
"8","Food insecurity and COVID-19 risk in low- and middle-income countries","Mueller, V.; Grépin, K. A.; Rabbani, A.; Navia, B.; Ngunjiri, A. S. W.; Wu, N.","The COVID-19 pandemic prompted social distancing, workplace closures, and restrictions on mobility and trade that had cascading effects on economic activity, food prices, and employment in low- and middle-income countries. Using longitudinal data from Bangladesh, Kenya, and Nigeria covering a period from October 2020 to April 2021, the paper assesses whether knowledge of a person infected with COVID-19 is associated with food insecurity, job loss and business closures, and coping strategies to smooth consumption. The likelihood of households to experience food insecurity at the extensive and intensive margins increased among those who knew an infected person in Bangladesh and Kenya.",2021,"Appl Econ Perspect Policy","","","",34900208,"10.1002/aepp.13200","Africa"
"9","COVID-19 and small enterprises in the food supply chain: Early impacts and implications for longer-term food system resilience in low- and middle-income countries","Nordhagen, Stella; Igbeka, Uduak; Rowlands, Hannah; Shine, Ritta Sabbas; Heneghan, Emily; Tench, Jonathan","Food and nutrition security play an essential role in weathering and overcoming the COVID-19 pandemic—and in achieving sustainable development. In most low- and middle-income countries, micro, small, and medium-sized enterprises (MSMEs) play an essential role in food supply chains and thus in ensuring food and nutrition security. However, limited attention has been paid to how these critical food system actors are being impacted by the pandemic and associated measures. This paper helps fill that gap through analysis of data from 367 agri-food MSMEs in 17 countries, collected in May 2020 and capturing early impacts of the pandemic on their operations. About 94.3% of respondents reported that their firm's operations had been impacted by the pandemic, primarily through decreased sales as well as lower access to inputs and financing amid limited financial reserves. Difficulty with staffing was also widely cited. Eighty-four percent of firms reported changing their production volume as a result of the pandemic; of these, about 13% reported stopping production and about 82% reported decreasing production. Approximately 54% had changed product prices as a result of the pandemic. The probability of being severely impacted was significantly higher for firms with <50,000 USD in annual turnover; a larger decrease in consumer mobility for grocery/pharmacy shopping also increased the probability of a severe impact. Surprisingly, the youngest firms and those with the fewest employees (controlling for turnover) were less likely to be severely impacted. Over 80% of firms had taken actions to mitigate the pandemic's impact on their operations and/or staff, and about 44% were considering exploring new business areas, with some seeing opportunities for growth. We conclude by discussing implications for policy responses to address immediate challenges as well as increase long-term food system resilience to support further progress towards sustainable development. [ABSTRACT FROM AUTHOR]
Copyright of World Development is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",2021,"World Development","141","","N.PAG-N.PAG",149056010,"10.1016/j.worlddev.2021.105405","Africa"
"10","COVID-19 pandemic: Towards a blue recovery in small island developing states","","",2021,"","","","",NA,"","Africa"
