"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"1","Global report on food crises","","",2021,"","","","",NA,"","Asia"
"2","Transforming Agriculture Key to Asia and Pacific’s Future and Survival","","",2021,"","","","",NA,"","Asia"
"3","COVID-19 and Multilateral Fisheries Management","Sebastian, KÖNIGS","",2021,"","","","",NA,"","Asia"
"4","Improved Technical Capacity of Fish Farmers and Authorities on Fish Feed Development in Central Asia","","",2021,"","","","",NA,"","Asia"
"5","Contextualizing the COVID-19 pandemic's impact on food security in two small cities in Bangladesh","Ruszczyk, H. A.; Rahman, M. F.; Bracken, L. J.; Sudha, S.","The COVID-19 pandemic is an evolving urban crisis. This research paper assesses impacts of the lockdown on food security and associated coping mechanisms in two small cities in Bangladesh (Mongla and Noapara) during March to May 2020. Due to restrictions during the prolonged lockdown, residents (in particular low-income groups) had limited access to livelihood opportunities and experienced significant or complete loss of income. This affected both the quantity and quality of food consumed. Coping strategies reported include curtailing consumption, relying on inexpensive starchy staples, increasing the share of total expenditure allocated to food, taking out loans and accessing relief. The pandemic has exacerbated the precariousness of existing food and nutrition security in these cities, although residents with guaranteed incomes and adequate savings did not suffer significantly during lockdown. While coping strategies and the importance of social capital are similar in small and large cities, food procurement and relationships with local governments show differences.",2021,"Environ Urban","33","1","239-254",34253941,"10.1177/0956247820965156","Asia"
"6","Qualitative assessment of COVID-19 impacts on aquatic food value chains in Bangladesh (Round 2)","Mamun, Abdullah-Al; Shieh, Jacqueline; Ben, Belton","Aquatic food value chains make up a large part of Bangladesh’s food system. In this report, we explore how actors in Bangladesh’s aquatic food supply chain have been affected by COVID-19. We conducted qualitative telephone interviews to elicit participants’ perceptions and experiences of the impacts of COVID-19 on different segments of the aquatic food supply chain. The work was designed to complement and add context to quantitative surveys of aquatic food supply chain actors that we conducted throughout 2020.
Two rounds of interviews were conducted in May and September 2020, covering the months of March-April and May-August, respectively to capture changes taking place over the progression of the pandemic. Forty-four participants were purposively sampled in the first round of interviews, and an additional 19 respondents were recruited for the second round for a total 63 respondents.
This report is divided into the following sections: (1) impacts on input suppliers; (2) impacts on producers, (3) impacts on retailers and wholesalers (4) impacts on consumers; and (5) experiences and perceptions of aid and assistance. Each section is further subdivided into findings from the first and second rounds of interviews.",2021,"","","","",NA,"","Asia"
"7","Guide to improving live fish transportation with special attention to the COVID-19 pandemic in Bangladesh and other tropical developing countries","Rajts, Francois; Shelley, Colin C","The demand for live fish is high in Bangladesh, and because of this the price exceeds that for iced dead fish by BDT 20–30/kg. From observations taken in February–March 2020, the amount of live food fish transported to markets in Bangladesh is estimated at about 200 mt per day.

However, some farmers and traders use inappropriate transportation practices, which have led to health hazards during the COVID-19 pandemic. In addition, poor transportation techniques have resulted in high mortalities during shipping. Among those that do survive and make it to the market, many arrive in poor quality because of injuries sustained on the trip. On top of all this, these hazardous techniques also have dangerous impacts on road safety.

The main objective of this guide is to improve human safety during the COVID-19 pandemic in relation to harvesting and transporting live fish. Other objectives include (i) providing safer methods for handling and transportation, (ii) improving animal welfare, (iii) reducing road safety hazards, and (iv) detailing methods to reduce the cost of live fish transportation.",2020,"","","","",NA,"","Asia"
"8","Key indicators for monitoring food system disruptions caused by the COVID-19 pandemic: Insights from Bangladesh towards effective response","Amjath-Babu, T. S.; Krupnik, T. J.; Thilsted, S. H.; McDonald, A. J.","In the context of developing countries, early evidence suggests that the impacts of the COVID-19 pandemic on food production systems is complex, heterogenous, and dynamic. As such, robust monitoring of the impact of the health crisis and containment measures across agricultural value chains will likely prove vitally important. With Bangladesh as a case study, we discuss the building blocks of a comprehensive monitoring system for prioritizing and designing interventions that respond to food system disruptions from COVID-19 and preemptively avoid further cascading negative effects. We also highlight the need for parallel research that identifies pathways for enhancing information flow, analysis, and action to improve the efficiency and reliability of input and output value chains. In aggregate, this preliminary work highlights the building blocks of resilient food systems to external shocks such as COVID-19 pandemic in the context of developing nations. In doing so, we call attention to the importance of 'infection safe' agricultural input and output distribution logistics, extended social safety nets, adequate credit facilities, and innovative labor management tools alongside, appropriate farm mechanization. In addition, digital extension services, circular nutrient flows, enhanced storage facilities, as well as innovative and robust marketing mechanisms are required. These should be considered in parallel with effective international trade management policies and institutions as crucial supportive measures.",2020,"Food Secur","12","4","761-768",32837652,"10.1007/s12571-020-01083-2","Asia"
"9","The purchase of organic fish in Bangladesh: Safeguarding against COVID-19","Prince, Sheikh Ashiqurrahman; Saira Wahid, Ishraat; Lu, Zhouxiang","Based on the theory of planned behaviour and cognitive dissonance, this research investigates how consumers' consciousness of the attributes of organic fish impacts the number of opportunities to purchase such fish at a safe social distance and how the consciousness of verbal recommendations affect the relationship between the consciousness of necessary social distance to safely buy organic fish and consumers' intention to purchase the fish. Applying these two theories and adding a new variable—social-distance purchasing—into the model, the research contributes significantly to current literature. Using a stratified random sampling, this research collected 320 data points from high, upper-middle and middle-income consumers that have been analysed through Amos Graphics and PROCESS macro in SPSS for the structural equation modelling. The findings of the research provide valuable insights to reduce the infection from COVID-19 as well as enhances the external validity and generalisability of the consumers' organic-food purchasing behaviour research. [ABSTRACT FROM AUTHOR]
Copyright of Cogent Business & Management is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",2020,"Cogent Business & Management","7","1","1-17",148481332,"10.1080/23311975.2020.1841524","Asia"
"10","Resilience of small-scale marine fishers of Bangladesh against the COVID-19 pandemic and the 65-day fishing ban","Bhowmik, J.; Selim, S. A.; Irfanullah, H. M.; Shuchi, J. S.; Sultana, R.; Ahmed, S. G.","In 2020, the COVID-19 pandemic-induced nationwide lockdown (March-May) and the conservation-related 65-day fishing ban (May-July) in Bangladesh restricted its small-scale fishing folks from fishing for an unprecedented 130 days. This study assessed the resilience of two small-scale fishing communities in Barguna and Cox's Bazar districts against these subsequent disturbances. The research developed a conceptual framework based on Zurich Flood Resilience Alliance's ‘5 C-4R Framework’, which considers the relationships among a wide range of sources of resilience with livelihood capitals and resilience properties. By analyzing 100 interviews with marine fishers, this paper showed how weakened livelihood capitals affected the resilience of fishing communities. Dependency on a single income source, inadequate access to aid and financial and natural resources, lack of skills and knowledge on alternative livelihood options, absence of strong social protection and social networks, social inequalities, institutional incompetence, and lack of community leadership and cooperation severely affected fishers’ resilience. This study revealed that financial capital is directly linked with all resilience properties that require special attention to ensure fishers’ well-being. The paper recommended drastic investments in small-scale marine fishers through long-term livelihood improvement and asset creation, skills and knowledge development on natural-resource-based alternative income generation activities, and an exclusive social safety net program for these fisherfolks. The approach and findings of this study can guide other emerging economies who enjoy significant contributions from the marine fisheries sector to understand the resilience of their fishers and to address the prevailing challenges owing to the pandemic and other natural calamities. © 2021 Elsevier Ltd",2021,"Marine Policy","134","","",NA,"10.1016/j.marpol.2021.104794","Asia"
"11","The impact of Covid-19 on the aquaculture value chain","","",2020,"","","","",NA,"","Asia"
"12","COVID-19 induced impact on informal migrants in Bangladesh: a qualitative study","Sohel, M. S.; Hossain, B.; Alam, M. K.; Shi, G.; Shabbir, R.; Sifullah, M. K.; Mamy, M. M. B.","Purpose: This study intends to explore the impact of occupation and income on informal migrants in the face of COVID-19 induced lockdown in Bangladesh and their coping strategies to survive the pandemic situation. Design/methodology/approach: The study adopted a qualitative research design in which four urban areas were chosen purposively from various parts of Dhaka city. The authors conducted 21 semi-structured in-depth interviews, four FGDs and eight months over participant observation for achieving study objectives. The four stages of data analysis used a thematic approach in the interpretive phenomenological analysis. Findings: The results showed that respondents were massively affected due to loss of income and occupation in the period of induced lockdown. Besides, most people lost their earning sources entirely in this amid pandemic which bound them starvation in the mealtime along with several dynamic complications. The findings also revealed that they followed some surviving strategies such as taking loans, reducing expenses, consuming less food, selling land, jewelry, and goods, relatives and neighbor support, and government relief. Although these strategies somewhat supported them to struggle with the situation, their livelihood features became fragile immensely. Research limitations/implications: The findings will be an important guiding principle for the policymakers, aid organizations and development practitioners to prepare development policies for vulnerable informal migrants in developing countries like Bangladesh. Originality/value: This is the first study that explores the informal migrants’ occupation and income during COVID-19 induced lockdown in Bangladesh. This research also highlights coping strategies of the informal migrants to survive the pandemic situation. © 2021, Emerald Publishing Limited.",2021,"International Journal of Sociology and Social Policy","","","",NA,"10.1108/IJSSP-02-2021-0046","Asia"
"13","Impacts of COVID-19 on the finfish aquaculture industry of Bangladesh: A case study","Hasan, N. A.; Heal, R. D.; Bashar, A.; Bablee, A. L.; Haque, M. M.","The COVID-19 outbreak, and the onset of a new normal, has shocked every entrepreneurial sector in Bangladesh including the burgeoning aquaculture sector. To unpack the COVID impacts on finfish aquaculture, two online based surveys were performed in Mymensingh, Bangladesh using structured questionnaires with 40 farmers to assess the economic feasibility of aquaculture farming, and 120 middlemen of the supply chain to unpack market instability. This was followed up with a further open-ended survey done with 120 consumers to gain a clear view of the marketing insights. Our study has revealed that COVID has resulted in a squeeze on profit for the finfish farmer and has opened up inequalities within the supply chain. Benefit-cost ratio analysis of farming reveals that although carp and other catfish farming remain close to the break-even level, pangasius and tilapia farming was potentially putting the farmers in debt. Whilst the consumers are now paying higher prices for pangasius and carp, and slightly reduced prices for tilapia and other catfish, the finfish farmers were receiving less profits. By contrast, the middlemen have increased their selling prices, presumably to offset increased costs and maintain profitability. To compensate rising operational costs and reduced income, farmers have reduced labor costs through reduction in number of staff and their wages. However, this compensation tool risks frustrating working-class people in rural areas and posing huge socio-economic burdens. Finally, the economic difficulties and a lack of support to process fish imposed by COVID restrictions have switched consumer's attitudes regarding fish as their protein source preference. © 2021 Elsevier Ltd",2021,"Marine Policy","130","","",NA,"10.1016/j.marpol.2021.104577","Asia"
