"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"1","Coronavirus response: Support to the fishery and aquaculture sectors","","",2020,"","","","",NA,"","Europe"
"2","COVID-19 and Multilateral Fisheries Management","Sebastian, KÖNIGS","",2021,"","","","",NA,"","Europe"
"3","Estimating marine plastic pollution from COVID-19 face masks in coastal regions","Chowdhury, H.; Chowdhury, T.; Sait, S. M.","Face masks are playing an essential role in preventing the spread of COVID-19. Face masks such as N95, and surgical masks, contain a considerable portion of non-recyclable plastic material. Marine plastic pollution is likely to increase due to the rapid use and improper dispensing of face masks, but until now, no extensive quantitative estimation exists for coastal regions. Linking behaviour dataset on face mask usage and solid waste management dataset, this study estimates annual face mask utilization and plastic pollution from mismanaged face masks in coastal regions of 46 countries. It is estimated that approximately 0.15 million tons to 0.39 million tons of plastic debris could end up in global oceans within a year. With lower waste management facilities, the number of plastic debris entering the ocean will rise. Significant investments are required from global communities in improving the waste management facilities for better disposal of masks and solid waste.",2021,"Mar Pollut Bull","168","","112419",33930644,"10.1016/j.marpolbul.2021.112419","Europe"
"4","Adjustments in Food Choices and Physical Activity during Lockdown by Flemish Adults","Mertens, E.; Deriemaeker, P.; Van Beneden, K.","BACKGROUND: On Wednesday 18/03/2020 Belgium was placed in lockdown in order to curb the spread of COVID-19. Lockdown can lead to loneliness, boredom, anger, anxiety and depression, which in turn have an influence on food choices and physical activity (PA). This study aims to map the adjustments in food choices and PA by Flemish adults during lockdown. METHODS: Chi square tests were performed to investigate the relationship between adjustments in food choices, PA and demographic variables. RESULTS: A total of 1.129 respondents filled in the online questionnaire, aged between 18 and 81 years. The healthiest food choices were made by respondents living alone during lockdown, whilst people cohabiting with others increased their PA significantly. Moreover, the dietary adjustments of adults living with children evolved more favourably to healthier choices then those cohousing with other adults. However, respondents living with other adults showed a more favourable pattern regarding adjustments in PA. The strongest increase in sedentary behaviour was observed in students. CONCLUSIONS: This study shows the impact of lockdown on both PA and food choices, where healthier adjustments were observed in PA and respondents were prone to consume unhealthier food.",2021,"Nutrients","13","11","",34836052,"10.3390/nu13113794","Europe"
"5","Hindcasting soundscapes before and during the covid-19 pandemic in selected areas of the north sea and the adriatic sea","Sertlek, H. Ö","The national measures in several European countries during the COVID-19 pandemic also affected offshore human activities, including shipping. In this work, the temporal and spatial variations of shipping sound are calculated for the years before and during the pandemic in selected shallow water test areas from the Southern North Sea and the Adriatic Sea. First, the monthly sound pressure level maps of ships and wind between 2017 and 2020 are calculated for frequencies between 100 Hz to 10 kHz. Next, the monthly changes in these maps are compared. The asymptotic approximation of the hybrid flux-mode propagation model reduces the computational requirements for sound mapping simulations and facilitates the production of a large number of sound maps for different months, depths, frequencies, and ship categories. After the strictest COVID-19 measures were applied in April 2020, the largest decline was observed for the fishing, passenger and recreational ships. Although the changes in the number of fishing vessels are large, their contribution to the soundscape is minor due to their low source level. In both test areas, the spatial exceedance levels and acoustic energies were decreased in 2020 compared to the average of the previous three years. © 2021 by the author. Licensee MDPI, Basel, Switzerland.",2021,"Journal of Marine Science and Engineering","9","7","",NA,"10.3390/jmse9070702","Europe"
"6","Covid-19 pandemic effects on food safety - Multi-country survey study","Djekic, I.; Nikolić, A.; Uzunović, M.; Marijke, A.; Liu, A.; Han, J.; Brnčić, M.; Knežević, N.; Papademas, P.; Lemoniati, K.; Witte, F.; Terjung, N.; Papageorgiou, M.; Zinoviadou, K. G.; Dalle Zotte, A.; Pellattiero, E.; Sołowiej, B. G.; Guiné, R. P. F.; Correia, P.; Sirbu, A.; Vasilescu, L.; Semenova, A. A.; Kuznetsova, O. A.; Vrabič Brodnjak, U.; Pateiro, M.; Lorenzo, J. M.; Getya, A.; Kodak, T.; Tomasevic, I.","This study provides an important insight into the response of food safety systems during the first months of the pandemic, elevating the perspective of preventing Covid-19 within conventional food safety management systems. A multi-country survey was conducted in 16 countries involving 825 food companies. Based on the results of the survey, it is obvious that the level of maturity of a food safety system in place is the main trigger in classifying companies and their responses to the pandemic challenge. Staff awareness and hygiene are the two most important attributes in combating Covid-19, opposed to temperature checking of workers in food establishment and health protocols from the World Health Organization, recognized as attributes with limited salience and importance. Companies confirmed implementation of more restrictive hygiene procedures during the pandemic and the need for purchasing more additional personal protective equipment. Retailers were identified as the food supply chain link mostly affected by the pandemic opposed to food storage facilities ranked as least affected. During this challenging period, all companies declared that food safety has not been compromised at any moment. It is important to note that less than a half of the food companies had documented any emergency plans associated with pandemics and health issues in place.",2021,"Food Control","122","","107800",33281304,"10.1016/j.foodcont.2020.107800","Europe"
"7","The impact of covid-19 on the EU-27 fishing fleetpdf","Carvalho, N.; Guillen, J.; Calvo Santos, A.","",2020,"","","","",NA,"","Europe"
"8","Unlocking challenges and opportunities presented by COVID-19 pandemic for cross-cutting disruption in agri-food and green deal innovations: Quo Vadis?","Rowan, N. J.; Galanakis, C. M.","COVID-19 pandemic is on a trajectory to cause catastrophic global upheaval with the potential to alter geopolitical and socio-economic norms. Many countries are frantically responding with staggering financial stimulus recovery initiatives. This opinion-paper reviews challenges, opportunities, and potential solutions for the post-COVID-19 era that focuses on intensive sustaining of agri-food supply chain in tandem with meeting the high demand for new green deal innovation. For example, the development of wet peatland innovation, known as Paludiculture, can intensively sustain and blend agri-food and green innovations that will help support COVID-19 pandemic transitioning. The future looks bright for the creation of new sustainability multi-actor innovation hubs that will support, connect, and enable businesses to recover and pivot beyond the COVID-19 pandemic. The nexus between first 'Green Deal' initiative supporting 64 selected European Startups and SMEs (European Innovation Council) and 43 Irish Disruptive Technology projects are addressed in the context of cross-cutting developments and relevance to COVID-19. Candidate areas for future consideration will focus on climate action, digitization, manufacturing, and sustainable food production, security, and waste mitigation. Recommendations are also provided to facilitate community transitioning, training, enterprise, and employment to low carbon economy.",2020,"Sci Total Environ","748","","141362",32823223,"10.1016/j.scitotenv.2020.141362","Europe"
"9","First Assessment of the Impacts of the COVID-19 Pandemic on Global Marine Recreational Fisheries","Pita, P.; Ainsworth, G. B.; Alba, B.; Anderson, A. B.; Antelo, M.; Alós, J.; Artetxe, I.; Baudrier, J.; Castro, J. J.; Chicharro, B.; Erzini, K.; Ferter, K.; Freitas, M.; García-de-la-Fuente, L.; García-Charton, J. A.; Giménez-Casalduero, M.; Grau, A. M.; Diogo, H.; Gordoa, A.; Henriques, F.; Hyder, K.; Jiménez-Alvarado, D.; Karachle, P. K.; Lloret, J.; Laporta, M.; Lejk, A. M.; Dedeu, A. L.; Martín-Sosa, P.; Martínez, L.; Mira, A. M.; Morales-Nin, B.; Mugerza, E.; Olesen, H. J.; Papadopoulos, A.; Pontes, J.; Pascual-Fernández, J. J.; Purroy, A.; Ramires, M.; Rangel, M.; Reis-Filho, J. A.; Sánchez-Lizaso, J. L.; Sandoval, V.; Sbragaglia, V.; Silva, L.; Skov, C.; Sola, I.; Strehlow, H. V.; Torres, M. A.; Ustups, D.; van der Hammen, T.; Veiga, P.; Venerus, L. A.; Verleye, T.; Villasante, S.; Weltersbach, M. S.; Zarauz, L.","This work is the result of an international research effort to determine the main impacts of the COVID-19 pandemic on marine recreational fishing. Changes were assessed on (1) access to fishing, derived from lockdowns and other mobility restrictions; (2) ecosystems, because of alterations in fishing intensity and human presence; (3) the blue economy, derived from alterations in the investments and expenses of the fishers; and (4) society, in relation to variations in fishers’ health and well-being. For this, a consultation with experts from 16 countries was carried out, as well as an international online survey aimed at recreational fishers, that included specific questions designed to capture fishers’ heterogeneity in relation to behavior, skills and know-how, and vital involvement. Fishers’ participation in the online survey (5,998 recreational fishers in 15 countries) was promoted through a marketing campaign. The sensitivity of the fishers’ clustering procedure, based on the captured heterogeneity, was evaluated by SIMPER analysis and by generalized linear models. Results from the expert consultation highlighted a worldwide reduction in marine recreational fishing activity. Lower human-driven pressures are expected to generate some benefits for marine ecosystems. However, experts also identified high negative impacts on the blue economy, as well as on fisher health and well-being because of the loss of recreational fishing opportunities. Most (98%) of the fishers who participated in the online survey were identified as advanced, showing a much higher degree of commitment to recreational fishing than basic fishers (2%). Advanced fishers were, in general, more pessimistic about the impacts of COVID-19, reporting higher reductions in physical activity and fish consumption, as well as poorer quality of night rest, foul mood, and raised more concerns about their health status. Controlled and safe access to marine recreational fisheries during pandemics would provide benefits to the health and well-being of people and reduce negative socioeconomic impacts, especially for vulnerable social groups. Copyright © 2021 Pita, Ainsworth, Alba, Anderson, Antelo, Alós, Artetxe, Baudrier, Castro, Chicharro, Erzini, Ferter, Freitas, García-de-la-Fuente, García-Charton, Giménez-Casalduero, Grau, Diogo, Gordoa, Henriques, Hyder, Jiménez-Alvarado, Karachle, Lloret, Laporta, Lejk, Dedeu, Martín-Sosa, Martínez, Mira, Morales-Nin, Mugerza, Olesen, Papadopoulos, Pontes, Pascual-Fernández, Purroy, Ramires, Rangel, Reis-Filho, Sánchez-Lizaso, Sandoval, Sbragaglia, Silva, Skov, Sola, Strehlow, Torres, Ustups, van der Hammen, Veiga, Venerus, Verleye, Villasante, Weltersbach and Zarauz.",2021,"Frontiers in Marine Science","8","","",NA,"10.3389/fmars.2021.735741","Europe"
"10","Food Exports from Brazil to the United Kingdom: An Exploratory Analysis of COVID-19 Impact on Trade","dos Reis, J. G. M.; Machado, S. T.; Aktas, E.","Brazil and the UK have been strategic partners throughout the years. While the former has traded minerals and food products – mainly agricultural commodities – the latter has been critical to infrastructure development in the South American country. However, the Crisis of COVID-19 Pandemic altered the scenario of international food production and distribution. This article aims to analyse Brazilian food exports to the UK in 2019 and 2020 to identify the impact of COVID-19 on the trade flows. To do so, we collected data from the Brazilian Ministry of Economy regarding the exports between the two nations and performed an exploratory investigation using graphical and quantitative analysis. The results suggest that the Pandemic crisis rose Brazilian exports of cereal and grains to the UK by around 50%, and the shortage of these items in the internal market has increased consumer prices by more than 60% during 2020. © 2021, IFIP International Federation for Information Processing.",2021,"","631 IFIP","","577-584",NA,"10.1007/978-3-030-85902-2_61","Europe"
