"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"1","Global report on food crises","","",2021,"","","","",NA,"","Latin America and Caribbean"
"2","A “new normality” for small-scale artisanal Fishers? The case of unregulated fisheries during the COVID-19 pandemic in the Bahía Blanca estuary (SW Atlantic Ocean)","Truchet, D. M.; Buzzi, N. S.; Noceti, M. B.","The current COVID-19 pandemic is causing health and economic crises worldwide, but consequences are worse for those emerging countries with poor sanitary conditions struggling against economic recessions. Small-scale artisanal fishers (SSAF) should be considered among the “essential workers” since they provide food services; however, the COVID-19 might have altered the normal livelihood and reduced people economic incomes in an already marginalized sector. This situation highlights the fishers' vulnerability, derived from changes in fish stocks caused by climate change, pollution, overharvesting, and informal work (illegal, unreported and unregulated fishing). Therefore, the so-called “new normality” raises big questions about the management of coastal areas and fisheries in developing countries. As a study case, we proposed exploring SSAF from an Argentinian estuary, the Bahía Blanca estuary (SW Atlantic Ocean). Most of them are unregulated after a reconversion program carried out by the local government in 2012. After reviewing the current COVID-19 legislation for coastal fisheries and having virtual encounters with SSAF, we observed they are struggling against the economic crisis caused by the pandemic. According to our observations, imperative measures must be taken to prevent fisheries collapse in the area. In this work, we present a reference point for the post-pandemic management of fisheries that could be considered for emerging public policies. © 2021 Elsevier Ltd",2021,"Ocean and Coastal Management","206","","",NA,"10.1016/j.ocecoaman.2021.105585","Latin America and Caribbean"
"3","Food security and COVID-19 in Latin America: A challenge to overcome","Cuenca, M. H.","Latin America is a region full of challenges due to its characteristics. The COVID-19 pandemic arrived in an unprepared region that must take action for controlling an emergency of a large magnitude, which is not surprising because of the economic decline, the increase in hunger, and informal employment experienced in recent decades. Previous efforts to eradicate hunger and move closer to meeting the number two goal of sustainable development are facing now a setback given the slowdown in activities because of the pandemic. The projection of the increase in intraregional poverty reported by CEPAL is a call for attention to the reformulation of policies associated with the dimensions of poverty and in particular the food and nutritional security of the population. Policies should focus on two levels: an immediate level of attention to the vulnerable population and another dedicated to planning structural actions with a view to the middle and long term. © 2020 Academia Nacional de Medicina. All rights reserved.",2021,"Gaceta Medica de Caracas","128","","S188-S195",NA,"10.47307/GMC.2020.128.S2.6","Latin America and Caribbean"
"4","Lessons Learned for Emergency Feeding During Modifications to 11 School Feeding Programs in Latin America and the Caribbean During the COVID-19 Pandemic","Colón-Ramos, U.; Monge-Rojas, R.; Weil, J. G.; Olivares, G. F.; Zavala, R.; Grilo, M. F.; Parra, D. C.; Duran, A. C.","BACKGROUND: School feeding programs (SFPs) can play a crucial role in the emergency food and nutrition response, but there is a dearth of information on how SFPs operate during emergencies. DESIGN AND METHODS: A rapid comparative assessment of 11 SFPs throughout Latin America and the Caribbean during the COVID-19 pandemic. Data from (1) systematic document search and (2) surveys with key informants (n = 23) about barriers/facilitators to modifications were systematically analyzed using a multiple case study approach. RESULTS: During the pandemic, all SFPs continued (although continuation plans varied from a few days in Chile to >1 month in Puerto Rico) via food kits, food vouchers, and/or grab n' go meals. The SFP implementation was highly dependent on the programs' autonomy and financial support, which impacted their logistics to acquire and distribute foods during the pandemic. The types of foods offered in some SFPs suggest that established nutritional guidelines were not always followed. Key informants expressed concerns about the deterioration of the nutritional quality of foods offered during the pandemic and lack of community engagement that impeded distribution to the neediest. CONCLUSIONS: Results underscore the urgency for clear implementation guidance on how to modify SFP during emergencies. Public health implications include (1) allocation of autonomous resources to an intersectoral working group to safeguard nutritional benefits during emergencies, (2) strengthening efforts of SFP community engagement before and during emergencies, and (3) establishing guidelines of the types of foods that can be distributed to meet the nutritional needs of beneficiaries during emergencies.",2021,"Food Nutr Bull","","","3795721211062371",34894790,"10.1177/03795721211062371","Latin America and Caribbean"
"5","COVID-19 and Multilateral Fisheries Management","Sebastian, KÖNIGS","",2021,"","","","",NA,"","Latin America and Caribbean"
"6","Slower Ship Speed in the Bahamas Due to COVID-19 Produces a Dramatic Reduction in Ocean Sound Levels","Dunn, C.; Theriault, J.; Hickmott, L.; Claridge, D.","As underwater noise from ship traffic increases, profound effects on the marine environment highlight the need for improved mitigation measures. One measure, reduction in ship speed, has been shown to be one of the key drivers in reducing sound source levels of vessels. In 2017, a study began to assess the impacts of increasing commercial shipping traffic on sperm whales in Northwest Providence Channel, northern Bahamas, an international trade route that primarily serves the southeast US. Ship data were collected from an Automatic Identification System (AIS) station combined with recordings from an acoustic recorder to measure underwater sound levels and to detect the presence of sperm whales. Here we analyze a subset of these data to opportunistically investigate potential changes in ship traffic before and during the COVID-19 pandemic. These data span one calendar year from October 2019 to October 2020. A pre-COVID-19 dataset of 121 days, from a recorder approximately 2 km from the shipping route was compared to a 134-day dataset collected during COVID-19 from the same site, comprising 2900 and 3181 ten-minute recordings, respectively. A dramatic decrease in ocean noise levels concurrent with changes in shipping activity occurred during the pandemic. The mean pre-COVID-19 power density level in the 111–140 Hz 1/3-octave band was 88.81 dB re 1 μPa (range 81.38–100.90) and decreased to 84.27 dB re 1 μPa (range 78.60–99.51) during COVID-19, equating to a 41% reduction in sound pressure levels (SPL). After differences in seasonal changes in wind speed were accounted for, SPL decreased during the pandemic by 3.98 dB (37%). The most notable changes in ship activity were significantly reduced vessel speeds for all ship types and fewer ships using the area during the pandemic. Vessel speed was highly correlated to SPL and the only ship-based variable that predicted SPLs. Despite the opportunistic nature [i.e., not a standard before-after-control-impact (BACI) study], this study provides a unique opportunity to assess the effectiveness of ship traffic management strategies, such as slowing ships down, to mitigate impacts on marine life in the study area, including local sperm whale populations. © Copyright © 2021 Dunn, Theriault, Hickmott and Claridge.",2021,"Frontiers in Marine Science","8","","",NA,"10.3389/fmars.2021.673565","Latin America and Caribbean"
"7","Blue economy and blue activities: Opportunities, challenges, and recommendations for the bahamas","Bethel, B. J.; Buravleva, Y.; Tang, D.","Following the global shutdown of tourism at the onset of the COVID-19 pandemic, small island developing states such as The Bahamas had their economies immobilized due to their heavy dependence on the industry. Beyond economic recovery in a post COVID-19 paradigm, the blue economy, blue growth, and associated activities offer pathways for a more resilient economy and is well-suited for The Bahamas. This paper suggests conduits for economic development using a traditional strength, coastal and marine tourism, in conjunction with the emerging fields of ocean renewable energy, offshore aquaculture, marine biotechnology, and bioprospecting. The interlinkages between each activity are discussed. Knowledge gaps in offshore aquaculture, ocean renewable energy, marine biotechnology, and marine environment monitoring are identified. In each sector case, strategic and tactical decision-making can be achieved through the exploitation of ocean numerical modeling and observations, and consequently should be invested in and developed alongside the requisite computational resources. Blue growth is encouraged, but instances of blue injustice are also highlighted. Crucially, pursuing blue economy activities should be given top national priority for economic recovery and prosperity. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,"Water (Switzerland)","13","10","",NA,"10.3390/w13101399","Latin America and Caribbean"
"8","Impact of the the COVID-19 pandemic on a queen conch (Aliger gigas) fishery in The Bahamas","Higgs, N. D.","The onset of the coronavirus (COVID-19) pandemic in early 2020 led to a dramatic rise in unemployment and fears about food-security throughout the Caribbean region. Subsistence fisheries were one of the few activities permitted during emergency lockdown in The Bahamas, leading many to turn to the sea for food. Detailed monitoring of a small-scale subsistence fishery for queen conch was undertaken during the implementation of coronavirus emergency control measures over a period of twelve weeks. Weekly landings data showed a surge in fishing during the first three weeks where landings were 3.4 times higher than subsequent weeks. Overall 90% of the catch was below the minimum legal-size threshold and individual yield declined by 22% during the lockdown period. This study highlights the role of small-scale fisheries as a 'natural insurance' against socio-economic shocks and a source of resilience for small island communities at times of crisis. It also underscores the risks to food security and long-term sustainability of fishery stocks posed by overexploitation of natural resources.",2021,"PeerJ","9","","e11924",34414036,"10.7717/peerj.11924","Latin America and Caribbean"
"9","Estimating marine plastic pollution from COVID-19 face masks in coastal regions","Chowdhury, H.; Chowdhury, T.; Sait, S. M.","Face masks are playing an essential role in preventing the spread of COVID-19. Face masks such as N95, and surgical masks, contain a considerable portion of non-recyclable plastic material. Marine plastic pollution is likely to increase due to the rapid use and improper dispensing of face masks, but until now, no extensive quantitative estimation exists for coastal regions. Linking behaviour dataset on face mask usage and solid waste management dataset, this study estimates annual face mask utilization and plastic pollution from mismanaged face masks in coastal regions of 46 countries. It is estimated that approximately 0.15 million tons to 0.39 million tons of plastic debris could end up in global oceans within a year. With lower waste management facilities, the number of plastic debris entering the ocean will rise. Significant investments are required from global communities in improving the waste management facilities for better disposal of masks and solid waste.",2021,"Mar Pollut Bull","168","","112419",33930644,"10.1016/j.marpolbul.2021.112419","Latin America and Caribbean"
"10","Impact and implications of COVID-19 for the ocean economy and trade strategy: Case studies from Barbados, Belize and Costa Rica","","",2022,"","","","",NA,"","Latin America and Caribbean"
