"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"1","Global report on food crises","","",2021,"","","","",NA,"","Middle East"
"2","Assessment of eating habits and lifestyle during the coronavirus 2019 pandemic in the Middle East and North Africa region: a cross-sectional study","Cheikh Ismail, L.; Osaili, T. M.; Mohamad, M. N.; Al Marzouqi, A.; Jarrar, A. H.; Zampelas, A.; Habib-Mourad, C.; Omar Abu Jamous, D.; Ali, H. I.; Al Sabbah, H.; Hasan, H.; AlMarzooqi, L. M. R.; Stojanovska, L.; Hashim, M.; Shaker Obaid, R. R.; ElFeky, S.; Saleh, S. T.; Shawar, Z. A. M.; Al Dhaheri, A. S.","Coronavirus disease 2019 (COVID-19) has rapidly spread globally, forcing countries to apply lockdowns and strict social distancing measures. The aim of this study was to assess eating habits and lifestyle behaviours among residents of the Middle East and North Africa (MENA) region during the lockdown. A cross-sectional study among adult residents of the MENA region was conducted using an online questionnaire designed on Google Forms during April 2020. A total of 2970 participants from eighteen countries participated in the present study. During the pandemic, over 30 % reported weight gain, 6·2 % consumed five or more meals per d compared with 2·2 % before the pandemic (P < 0·001) and 48·8 % did not consume fruits on a daily basis. Moreover, 39·1 % did not engage in physical activity, and over 35 % spent more than 5 h/d on screens. A significant association between the frequency of training during the pandemic and the reported change in weight was found (P < 0·001). A significantly higher percentage of participants reported physical and emotional exhaustion, irritability and tension either all the time or a large part of the time during the pandemic (P < 0·001). Although a high percentage of participants reported sleeping more hours per night during the pandemic, 63 % had sleep disturbances. The study highlights that the lockdown due to the COVID-19 pandemic caused a variety of lifestyle changes, physical inactivity and psychological problems among adults in the MENA region.",2021,"Br J Nutr","126","5","757-766",33198840,"10.1017/s0007114520004547","Middle East"
"3","COVID-19 and Multilateral Fisheries Management","Sebastian, KÖNIGS","",2021,"","","","",NA,"","Middle East"
"4","Estimating marine plastic pollution from COVID-19 face masks in coastal regions","Chowdhury, H.; Chowdhury, T.; Sait, S. M.","Face masks are playing an essential role in preventing the spread of COVID-19. Face masks such as N95, and surgical masks, contain a considerable portion of non-recyclable plastic material. Marine plastic pollution is likely to increase due to the rapid use and improper dispensing of face masks, but until now, no extensive quantitative estimation exists for coastal regions. Linking behaviour dataset on face mask usage and solid waste management dataset, this study estimates annual face mask utilization and plastic pollution from mismanaged face masks in coastal regions of 46 countries. It is estimated that approximately 0.15 million tons to 0.39 million tons of plastic debris could end up in global oceans within a year. With lower waste management facilities, the number of plastic debris entering the ocean will rise. Significant investments are required from global communities in improving the waste management facilities for better disposal of masks and solid waste.",2021,"Mar Pollut Bull","168","","112419",33930644,"10.1016/j.marpolbul.2021.112419","Middle East"
"5","COVID-19 and small enterprises in the food supply chain: Early impacts and implications for longer-term food system resilience in low- and middle-income countries","Nordhagen, Stella; Igbeka, Uduak; Rowlands, Hannah; Shine, Ritta Sabbas; Heneghan, Emily; Tench, Jonathan","Food and nutrition security play an essential role in weathering and overcoming the COVID-19 pandemic—and in achieving sustainable development. In most low- and middle-income countries, micro, small, and medium-sized enterprises (MSMEs) play an essential role in food supply chains and thus in ensuring food and nutrition security. However, limited attention has been paid to how these critical food system actors are being impacted by the pandemic and associated measures. This paper helps fill that gap through analysis of data from 367 agri-food MSMEs in 17 countries, collected in May 2020 and capturing early impacts of the pandemic on their operations. About 94.3% of respondents reported that their firm's operations had been impacted by the pandemic, primarily through decreased sales as well as lower access to inputs and financing amid limited financial reserves. Difficulty with staffing was also widely cited. Eighty-four percent of firms reported changing their production volume as a result of the pandemic; of these, about 13% reported stopping production and about 82% reported decreasing production. Approximately 54% had changed product prices as a result of the pandemic. The probability of being severely impacted was significantly higher for firms with <50,000 USD in annual turnover; a larger decrease in consumer mobility for grocery/pharmacy shopping also increased the probability of a severe impact. Surprisingly, the youngest firms and those with the fewest employees (controlling for turnover) were less likely to be severely impacted. Over 80% of firms had taken actions to mitigate the pandemic's impact on their operations and/or staff, and about 44% were considering exploring new business areas, with some seeing opportunities for growth. We conclude by discussing implications for policy responses to address immediate challenges as well as increase long-term food system resilience to support further progress towards sustainable development. [ABSTRACT FROM AUTHOR]
Copyright of World Development is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",2021,"World Development","141","","N.PAG-N.PAG",149056010,"10.1016/j.worlddev.2021.105405","Middle East"
"6","Unlocking challenges and opportunities presented by COVID-19 pandemic for cross-cutting disruption in agri-food and green deal innovations: Quo Vadis?","Rowan, N. J.; Galanakis, C. M.","COVID-19 pandemic is on a trajectory to cause catastrophic global upheaval with the potential to alter geopolitical and socio-economic norms. Many countries are frantically responding with staggering financial stimulus recovery initiatives. This opinion-paper reviews challenges, opportunities, and potential solutions for the post-COVID-19 era that focuses on intensive sustaining of agri-food supply chain in tandem with meeting the high demand for new green deal innovation. For example, the development of wet peatland innovation, known as Paludiculture, can intensively sustain and blend agri-food and green innovations that will help support COVID-19 pandemic transitioning. The future looks bright for the creation of new sustainability multi-actor innovation hubs that will support, connect, and enable businesses to recover and pivot beyond the COVID-19 pandemic. The nexus between first 'Green Deal' initiative supporting 64 selected European Startups and SMEs (European Innovation Council) and 43 Irish Disruptive Technology projects are addressed in the context of cross-cutting developments and relevance to COVID-19. Candidate areas for future consideration will focus on climate action, digitization, manufacturing, and sustainable food production, security, and waste mitigation. Recommendations are also provided to facilitate community transitioning, training, enterprise, and employment to low carbon economy.",2020,"Sci Total Environ","748","","141362",32823223,"10.1016/j.scitotenv.2020.141362","Middle East"
"7","Adherence to the Mediterranean Diet during the COVID-19 national lockdowns: a systematic review of observational studies","Della Valle, P. G.; Mosconi, G.; Nucci, D.; Vigezzi, G. P.; Gentile, L.; Gianfredi, V.; Bonaccio, M.; Gianfagna, F.; Signorelli, C.; Iacoviello, L.; Odone, A.","BACKGROUND AND AIM OF THE WORK: During the COVID-19 pandemic, many countries adopted restrictive measures to mitigate infection spread, which might have influenced people's lifestyle and dietary habits. We conducted a systematic review to evaluate the impact of national lockdowns on adherence to the Mediterranean Diet (MD). METHODS: Studies were identified searching Medline, Embase, Web of Science, and the Cochrane Library. Studies published until 4th May 2021 were included. We only considered studies reporting original data from quantitative analysis and assessing changes in adherence to the MD, using validated dietary scores, or in consumption of MD food items. Data extraction, pooling, and quality appraisal of included studies were conducted following the PRISMA guidelines. RESULTS: Forty-two studies were retrieved. After screening, 12 studies met inclusion criteria and were included in the review, of which 4 (33%) were longitudinal studies. Six (85.7%) of the seven studies that measured changes in MD adherence before-during lockdown reported an increase (rate of change of high-adherence to MD ranged between +3.3% and +21.9%). Evidence indicates that consumption of MD food items increased during lockdown but is heterogeneous in study design, quality, and findings. CONCLUSIONS: Our results suggest adherence to the MD during lockdown might have increased in some settings, while the determinants of such a trend are to be further explored. We raise awareness of the need to research further the impacts and long-term consequences of COVID-19 containment measures on dietary and lifestyle habits.",2021,"Acta Biomed","92","S6","e2021440",34739464,"10.23750/abm.v92iS6.12233","Middle East"
"8","Influence of COVID-19 on lifestyle behaviors in the Middle East and North Africa Region: a survey of 5896 individuals","Abouzid, M.; El-Sherif, D. M.; Eltewacy, N. K.; Dahman, N. B. H.; Okasha, S. A.; Ghozy, S.; Islam, S. M. S.","BACKGROUND: Coronavirus disease (COVID-19) pandemic has affected health and lifestyle behaviors of people globally. This project aims to identify the impact of COVID-19 on lifestyle behavior of individuals in the Middle East and North Africa (MENA) region during confinement. METHODS: We conducted an online survey in 17 countries (Egypt, Jordan, United Arab Emirates, Kuwait, Bahrain, Saudi Arabia, Oman, Qatar, Yemen, Syria, Palestine, Algeria, Morocco, Libya, Tunisia, Iraq, and Sudan) from the MENA region on August and September 2020. The questionnaire included self-reported information on lifestyle behaviors, including physical activity, eating habits, smoking, watching television, social media use and sleep before and during the pandemic. Logistic regression was performed to analyze the impact of COVID-19 on lifestyle behaviors. RESULTS: A total of 5896 participants were included in the final analysis and 62.8% were females. The BMI of the participants was 25.4 ± 5.8 kg/m(2). Around 38.4% of the participants stopped practicing any physical activities during the confinement (P < 0.001), and 57.1% reported spending more than 2 h on social media (P < 0.001). There were no significant changes in smoking habits. Also, 30.9% reported an improvement in their eating habits compared with 24.8% reported worsening of their eating habits. Fast-food consumption decreased significantly in 48.8% of the study population. This direct/indirect exposure to COVID-19 was associated with an increased consumption of carbohydrates (OR = 1.09; 95% CI = 1.02-1.17; P = 0.01), egg (OR = 1.08; 95% CI = 1.02-1.16; P = 0.01), sugar (OR = 1.09; 95% CI = 1.02-1.16; P = 0.02), meat, and poultry (OR = 1.13; 95% CI = 1.06-1.20; P < 0.01). There was also associated increase in hours spent on watching television (OR = 1.07; 95% CI = 1.02-1.12; P < 0.01) and social media (OR = 1.09; 95% CI = 1.01-1.18; P = 0.03). However, our results showed a reduction in sleeping hours among those exposed to COVID-19 infection (OR = 0.85; 95% CI = 0.77-0.94; P < 0.01). CONCLUSIONS: The COVID-19 pandemic was associated with an increase in food consumption and sedentary life. Being exposed to COVID-19 by direct infection or through an infected household is a significant predictor of amplifying these changes. Public health interventions are needed to address healthy lifestyle behaviors during and after the COVID-19 pandemic.",2021,"J Transl Med","19","1","129",33785043,"10.1186/s12967-021-02767-9","Middle East"
"9","The State of Mediterranean and Black Sea Fisheries 2020","","",2020,"","","","",NA,"","Middle East"
"10","Did Iranians change their eating behavior following COVID-19 outbreak?","Akbarzadeh, M.; Barati-Boldaji, R.; Mohsenpour, M. A.; Ferns, G. A.; Jalali, M.; Mosallanezhad, Z.; Karamizadeh, M.","BACKGROUND: Significant lifestyle changes have been reported after COVID-19 outbreak. The present study aimed at investigating changes in dietary habits in response to the COVID-19 outbreak in an Iranian population sample. MATERIALS AND METHODS: In this cross-sectional study, the dietary habits of Iranian adults were assessed before and during the COVID-19 outbreak. Consumption of different food groups such as meats, dairy, fruits, vegetables, seeds, and nuts was assessed using a digital questionnaire which was shared on social media platforms. For the statistical analysis, the Wilcoxon signed-rank test was used. RESULTS: In this online survey, 1553 questionnaires were completed. The results showed that the reported consumption of protein-rich foods increased (P < 0.05), but fish and dairy consumption showed a significant reduction (P = 0.006 and <0.001, respectively). There was a significant reduction in reported fast-food consumption (P < 0.001). Fruits and vegetables (P < 0.001), natural fruit juices (P < 0.001), and water (P < 0.001) were consumed more frequently. Individuals also consumed more vitamin and mineral supplements (P < 0.001) including those containing Vitamin D. CONCLUSION: During the COVID-19 pandemic, participants reported a significant change in their dietary habits and intake of supplements. Higher intakes of meats, protein-rich foods, fruits, vegetables, and nutritional supplements and lower intakes of fish, dairy, and fast foods were reported.",2021,"J Res Med Sci","26","","116",35126579,"10.4103/jrms.JRMS_1234_20","Middle East"
