"","Title","Authors","Abstract","Published.Year","Journal","Volume","Issue","Pages","Accession.Number","DOI","region"
"1","Lessons Learned for Emergency Feeding During Modifications to 11 School Feeding Programs in Latin America and the Caribbean During the COVID-19 Pandemic","Colón-Ramos, U.; Monge-Rojas, R.; Weil, J. G.; Olivares, G. F.; Zavala, R.; Grilo, M. F.; Parra, D. C.; Duran, A. C.","BACKGROUND: School feeding programs (SFPs) can play a crucial role in the emergency food and nutrition response, but there is a dearth of information on how SFPs operate during emergencies. DESIGN AND METHODS: A rapid comparative assessment of 11 SFPs throughout Latin America and the Caribbean during the COVID-19 pandemic. Data from (1) systematic document search and (2) surveys with key informants (n = 23) about barriers/facilitators to modifications were systematically analyzed using a multiple case study approach. RESULTS: During the pandemic, all SFPs continued (although continuation plans varied from a few days in Chile to >1 month in Puerto Rico) via food kits, food vouchers, and/or grab n' go meals. The SFP implementation was highly dependent on the programs' autonomy and financial support, which impacted their logistics to acquire and distribute foods during the pandemic. The types of foods offered in some SFPs suggest that established nutritional guidelines were not always followed. Key informants expressed concerns about the deterioration of the nutritional quality of foods offered during the pandemic and lack of community engagement that impeded distribution to the neediest. CONCLUSIONS: Results underscore the urgency for clear implementation guidance on how to modify SFP during emergencies. Public health implications include (1) allocation of autonomous resources to an intersectoral working group to safeguard nutritional benefits during emergencies, (2) strengthening efforts of SFP community engagement before and during emergencies, and (3) establishing guidelines of the types of foods that can be distributed to meet the nutritional needs of beneficiaries during emergencies.",2021,"Food Nutr Bull","","","3795721211062371",34894790,"10.1177/03795721211062371","North America"
"2","COVID-19 and Multilateral Fisheries Management","Sebastian, KÖNIGS","",2021,"","","","",NA,"","North America"
"3","Estimating marine plastic pollution from COVID-19 face masks in coastal regions","Chowdhury, H.; Chowdhury, T.; Sait, S. M.","Face masks are playing an essential role in preventing the spread of COVID-19. Face masks such as N95, and surgical masks, contain a considerable portion of non-recyclable plastic material. Marine plastic pollution is likely to increase due to the rapid use and improper dispensing of face masks, but until now, no extensive quantitative estimation exists for coastal regions. Linking behaviour dataset on face mask usage and solid waste management dataset, this study estimates annual face mask utilization and plastic pollution from mismanaged face masks in coastal regions of 46 countries. It is estimated that approximately 0.15 million tons to 0.39 million tons of plastic debris could end up in global oceans within a year. With lower waste management facilities, the number of plastic debris entering the ocean will rise. Significant investments are required from global communities in improving the waste management facilities for better disposal of masks and solid waste.",2021,"Mar Pollut Bull","168","","112419",33930644,"10.1016/j.marpolbul.2021.112419","North America"
"4","Changes in diet quality and food security among adults during the COVID-19-related early lockdown: results from NutriQuébec","Lamarche, B.; Brassard, D.; Lapointe, A.; Laramée, C.; Kearney, M.; Côté, M.; Bélanger-Gravel, A.; Desroches, S.; Lemieux, S.; Plante, C.","BACKGROUND: The impact that the coronavirus disease 2019 (COVID-19)-related early lockdown has had on dietary habits of the population and on food insecurity is unknown. OBJECTIVE: The aim of this study was to document the change in diet quality and in food insecurity observed during the COVID-19-related early lockdown. We hypothesized that the lockdown was associated with a deterioration in overall diet quality and an increase in food insecurity. METHODS: Data are from a COVID-19 subsample of NutriQuébec, a web-based cohort destined to study temporal changes in dietary habits among adults in Quebec, Canada. Participants completed questionnaires before (between June 2019 and February 2020) and during (April to May 2020) early lockdown, including a validated web-based 24-h recall (n = 853) and a questionnaire on food security (n = 922). Primary study outcomes were temporal changes in diet quality measured by the Healthy Eating Index (HEI)-2015 and in the prevalence of food insecurity. RESULTS: There was a small increase in the HEI-2015 during the COVID-19 early lockdown compared with baseline (+1.1 points; 95% CI: 0.6, 1.5), mostly due to small improvements in the intakes of whole grains, greens and beans, refined grains, total vegetables, total dairy, seafood and plant proteins, added sugar, and total protein subscores of the HEI-2015. Exploratory analyses suggested that individuals aged 18-29 y (+3.6 points; 95% CI: 2.4, 4.7), participants with lower education (+1.9 points; 95% CI: 1.3, 2.6), or with obesity (+3.8 points; 95% CI: 2.7, 4.8) showed particularly important increases in the HEI-2015. The prevalence of food insecurity was reduced from 3.8% at baseline to 1.0% during the early lockdown (prevalence ratio = 0.27; 95% CI: 0.08, 0.94). CONCLUSIONS: Contrary to our hypotheses, diet quality has slightly improved and prevalence of food insecurity was reduced in this sample of adults from Quebec during the COVID-19-related early lockdown. These results may be generalizable only to relatively healthy populations.",2021,"Am J Clin Nutr","113","4","984-992",33398347,"10.1093/ajcn/nqaa363","North America"
"5","Changes in Underwater Noise and Vessel Traffic in the Approaches to Halifax Harbor, Nova Scotia, Canada","Breeze, H.; Li, S.; Marotte, E. C.; Theriault, J. A.; Wingfield, J.; Xu, J.","Over the past two years, researchers at Fisheries and Oceans Canada have been running an acoustic monitoring project at multiple study sites throughout Nova Scotia, Canada to investigate baleen whale presence and levels of underwater noise. At the onset of the COVID-19 pandemic, a passive acoustic monitor (PAM) was in place in the study site located in the approaches to Halifax Harbor, a major Canadian port. This provided a unique opportunity to determine if changes in vessel noise levels occurred after pandemic restrictions were put in place. To investigate this, we analyzed and compared acoustic data collected from March 28 to April 28 and August 6 to October 22 in both 2019 and 2020. We also investigated possible changes in vessel traffic from February 1 through April 28 and July 1 through July 28 in 2019 and 2020 using terrestrial-based automatic identification system (AIS) data provided by the Canadian Coast Guard and cargo information provided by the Port of Halifax. The acoustic data were analyzed in 1/3 octave frequency bands. For the 89.1–112 Hz frequency band, we found an 8.4 dB increase in the daily minimum sound pressure level (SPL) in April 2020 compared to April 2019 due the presence of a large crane vessel stationed near the mooring site. For the period of August to October, we found an approximately 1.7 dB reduction in the same metric from 2019 to 2020. The most noticeable change in vessel composition was the dramatic decrease in the number and occurrence of pleasure craft in July 2020 compared to the same period in 2019. While this analysis looked at only a single PAM and a limited amount of data, we observed changes in sound levels in the frequency band known to be associated with shipping as well as changes in vessel traffic; we conclude that these observed changes may be related to pandemic restrictions. © Copyright © 2021 Breeze, Li, Marotte, Theriault, Wingfield and Xu.",2021,"Frontiers in Marine Science","8","","",NA,"10.3389/fmars.2021.674788","North America"
"6","COVID-19 and labor issues: An assessment","Larue, B.","Canada's unemployment rate increased rapidly in the spring of 2020 in response to strict public health measures. Low-wage workers were hit particularly hard, including restaurant workers. The production and distribution of food being essential and agri-food supply chains being resilient, other workers in the agri-food sector were less impacted by public health measures and the pandemic. Employment in grocery stores remained steady and employment of agricultural workers, including temporary foreign workers, proved more robust than expected. Dealing with contaminated workers proved challenging in meat processing plants. Temporary plant shutdowns and slowdowns created livestock queuing problems and temporary increases in meat prices. The federal and provincial governments implemented several programs to mitigate the pandemic's adverse effects on labor markets. The pandemic will have permanent effect on labor markets, but with unemployment rates falling rapidly across Canada, recruiting and retention remain the main labor issues in agriculture. © 2021 Canadian Agricultural Economics Society",2021,"Canadian Journal of Agricultural Economics","69","2","269-279",NA,"10.1111/cjag.12288","North America"
"7","Economic thoughts on COVID-19 for Canadian food processors","Hailu, G.","In this paper, I explore the potential effects of the COVID-19 pandemic on Canadian food processors. First, COVID-19 may have an impact on food processing economic activities because of supply and demand shocks. Second, the impact of COVID-19 on food processing may depend on the type of products and the size of the processors. The effects of measures taken by the government to flatten the epidemiological curve on the economic activities of the food processing sector are uncertain. © 2020 Canadian Agricultural Economics Society",2020,"Canadian Journal of Agricultural Economics","68","2","163-169",NA,"10.1111/cjag.12241","North America"
"8","Predicting the Impacts of the COVID-19 Pandemic on Food Supply Chains and Their Sustainability: A Simulation Study","Huang, Y.; Li, J.; Qi, Y.; Shi, V.","The COVID-19 pandemic has continued to result in severe disruptions to food supply chains. In this research, we present a simulation study on the impact of the COVID-19 pandemic on food supply chains and their sustainability using the lobster industry in Nova Scotia, Canada, as an example. The main contributions of this paper are twofold. First, it analyzes how the pandemic has negatively disrupted lobster supply chains and their sustainability. Second, it demonstrates how a simulation-based methodology based on the software AnyLogistix can be applied to examine the effects of a pandemic on food supply chains. We show the impacts of the COVID-19 pandemic from four perspectives: production-inventory dynamics, customer performance, financial performance, and lead-time performance. Our findings include the following. First, the pandemic has created a backlog problem for the live lobster industry. Second, it has significantly increased the lead time of the lobster supply chain. Overall, this research can help the government and trade organizations to devise appropriate policies to reduce the negative impacts of the pandemic on food supply chains and their sustainability. © 2021 Yakun Huang et al.",2021,"Discrete Dynamics in Nature and Society","2021","","",NA,"10.1155/2021/7109432","North America"
"9","Building back sustainably: Covid-19 impact and adaptation in newfoundland and labrador fisheries","Asante, E. O.; Blankson, G. K.; Sabau, G.","The coronavirus pandemic, which started in late 2019, is one of the devastating crises that has affected human lives and the economies of many countries across the globe. Though economies have been affected, some sectors (such as food and fisheries sectors) are more vulnerable and prone to the deleterious impacts of the COVID-19 pandemic. This paper highlights the various disruptions (safety at workplace, loss of harvest and processing activity, loss of export opportunities and income) faced by the Newfoundland and Labrador fisheries due to several restrictive measures (especially on mobility, social distancing, quarantine, and, in extreme cases, lockdown) to curtail the spread of the virus. Additionally, this paper makes a case that Newfoundland and Labrador fisheries can be managed sustainably during and after the pandemic by suggesting practical recommendations borrowed from two sustainability frameworks (Canadian Fisheries Research Network and the EU Setting the Right Safety Net framework) for managing fisheries in Canada and the European Union. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,"Sustainability (Switzerland)","13","4","1-14",NA,"10.3390/su13042219","North America"
"10","COVID-19 and food processing in Canada","Hailu, G.","In this paper, I explore the economic activities of the food processing industry during the coronavirus disease-2019 (COVID-19) pandemic. One of the key lessons from food processing and related industries is that without being designated as an essential service and targeted stimulus packages, the food industry could have fallen victim to the COVID-19 crisis. Although the social and economic impacts of the interventions are not clear, being designated as an essential service was likely far more important to the food industry than the targeted stimulus packages. The pandemic and shutdown orders had a considerable production reallocation effect. Some processors have seen temporary closure and reduced capacity utilization. On the upside, disruptions in the food processing sector have not been as severe as in non-essential sectors. The food processing sector has proven to be relatively stable during the pandemic – food was still processed and delivered to consumers and food price increases were minimal in most cases given the scale of the shock. Moving forward, because COVID-19 is a global crisis, internationally targeted and coordinated efforts to tackle the virus could place the industry on a strong trajectory towards economic recovery and growth. Résumé. Dans cet article, j'explore les activités économiques de l'industrie de la transformation des aliments pendant la pandémie COVID-19. L'une des principales leçons tirées de la transformation des aliments et des industries connexes est que sans être désignée comme un service essentiel et visée par des plans de relance ciblés, l'industrie alimentaire aurait pu être victime de la crise du COVID-19. Bien que les impacts sociaux et économiques des interventions ne soient pas clairs, être désigné comme un service essentiel était probablement beaucoup plus important pour l'industrie alimentaire que les plans de relance ciblés. La pandémie et les ordres d'arrêt ont eu un effet considérable de réallocation de la production. Certains transformateurs ont connu des fermetures temporaires et une utilisation réduite de leurs capacités. Les perturbations dans le secteur de la transformation des aliments n'ont pas été aussi graves que dans les secteurs non essentiels. Le secteur de la transformation des aliments s'est avéré relativement stable pendant la pandémie - les aliments étaient encore transformés et livrés aux consommateurs et les augmentations des prix des denrées alimentaires ont été minimes dans la plupart des cas compte tenu de l'ampleur du choc. À l'avenir, parce que le COVID-19 est une crise mondiale, des efforts coordonnés et ciblés au niveau international pour lutter contre le virus pourraient placer l'industrie sur une trajectoire solide vers la reprise économique et la croissance. © 2021 Canadian Agricultural Economics Society",2021,"Canadian Journal of Agricultural Economics","69","2","177-187",NA,"10.1111/cjag.12286","North America"
